SchoolYear,RCDTS,School,Enrollment,FAEnrollment,iepp,,eavpp,doepp,ALLCourses,FACourses,ALLTeachers,FATeachers,ALLTeachersCalc,FATeachersCalc
2017,010010010260001,Seymour High School,231,192,4537.00,,89341.00,8328.00,3867,370,21,2,22,3
2017,010010010262002,Seymour Elementary School,313,300,4537.00,,89341.00,8328.00,3349,680,20,2,23,5
2017,010010020260001,Liberty High School,282,132,5349.00,,91431.00,8433.00,4325,283,30,3,31,4
2017,010010020262002,Liberty Elementary School,285,283,5349.00,,91431.00,8433.00,2280,544,23,3,24,4
2017,010010030260001,Central High School,243,137,4978.00,,92491.00,8702.00,3415,270,23,3,26,6
2017,010010030261001,Central Junior High School,280,170,4978.00,,92491.00,8702.00,4200,333,25,4,28,7
2017,010010030262003,Central Elementary Grade School,202,194,4978.00,,92491.00,8702.00,2984,379,11,1,11,1
2017,010010030262008,Central 3-4 Middle School,135,135,4978.00,,92491.00,8702.00,2466,376,10,7,10,7
2017,010010040260001,Unity High School,231,78,5201.00,,90146.00,9620.00,3135,146,20,3,20,3
2017,010010040262006,Unity Elementary School,194,0,5201.00,,90146.00,9620.00,194,0,10,0,10,0
2017,010010040262007,Unity Middle School,258,0,5201.00,,90146.00,9620.00,1532,0,16,0,16,0
2017,010011720220003,Quincy Sr High School,2084,446,5936.00,,135503.00,9767.00,24263,952,124,8,130,13
2017,010011720221003,Quincy Jr High School,1446,694,5936.00,,135503.00,9767.00,22959,1662,93,9,101,16
2017,010011720222004,Sarah Atwater Denman Elementary S,,,5936.00,,135503.00,9767.00,2724,385,,,,
2017,010011720222004,Sarah Atwater Denman Elementary School Site 2,384,377,5936.00,,135503.00,9767.00,,,21,1,22,2
2017,010011720222006,Colonel George Iles Elementary Sc,,,5936.00,,135503.00,9767.00,1681,240,,,,
2017,010011720222006,Colonel George Iles Elementary School,242,239,5936.00,,135503.00,9767.00,,,15,1,15,1
2017,010011720222007,Thomas S Baldwin Elementary Schoo,,,5936.00,,135503.00,9767.00,2275,325,,,,
2017,010011720222007,Thomas S Baldwin Elementary School Site 1,325,325,5936.00,,135503.00,9767.00,,,17,2,17,2
2017,010011720222008,Sarah Atwater Denman Elementary S,,,5936.00,,135503.00,9767.00,1569,281,,,,
2017,010011720222008,Sarah Atwater Denman Elementary Site 1,219,212,5936.00,,135503.00,9767.00,,,14,5,14,5
2017,010011720222009,Thomas S Baldwin Elementary Schoo,,,5936.00,,135503.00,9767.00,2576,359,,,,
2017,010011720222009,Thomas S Baldwin Elementary School Site 2,369,355,5936.00,,135503.00,9767.00,,,19,1,19,1
2017,010011720222016,Lincoln-Douglas Elementary School,254,252,5936.00,,135503.00,9767.00,1782,254,14,1,14,1
2017,010011720222017,Dr. Abby Fox Rooney Elementary Sc,,,5936.00,,135503.00,9767.00,1916,265,,,,
2017,010011720222017,Dr. Abby Fox Rooney Elementary School,267,258,5936.00,,135503.00,9767.00,,,19,1,20,2
2017,010011720222019,Baldwin Intermediate,1033,721,5936.00,,135503.00,9767.00,5899,1476,57,53,66,62
2017,010050010260001,Brown County High School,195,137,4683.00,,102138.00,9565.00,2730,269,25,5,29,9
2017,010050010261002,Brown County Middle School,239,217,4683.00,,102138.00,9565.00,2518,323,22,4,26,8
2017,010050010262002,Brown County Elementary School,258,258,4683.00,,102138.00,9565.00,1459,258,20,2,20,2
2017,010090150260007,Beardstown Jr/Sr High School,903,548,5018.00,,37248.00,7878.00,12890,1593,63,3,63,3
2017,010090150262003,Gard Elementary School,574,573,5018.00,,37248.00,7878.00,8973,2238,38,2,38,2
2017,010090640260003,Virginia Jr/ Sr High School,149,17,5172.00,,123700.00,11506.00,261,17,11,1,12,2
2017,010090640262001,Virginia Elem School,133,115,5172.00,,123700.00,11506.00,1014,225,13,2,14,3
2017,010092620260002,A-C Central High School,137,88,4404.00,,108577.00,9333.00,2075,201,18,4,21,7
2017,010092620261002,A-C Central Middle School,138,114,4404.00,,108577.00,9333.00,2251,383,19,6,23,10
2017,010092620262001,A-C Central Elementary School,152,118,4404.00,,108577.00,9333.00,3308,471,11,1,13,3
2017,010690010260001,Franklin Jr/Sr High School,231,107,7335.00,,188798.00,13604.00,2997,335,22,4,22,4
2017,010690010262004,Alexander Elem School,99,99,7335.00,,188798.00,13604.00,852,99,7,1,7,1
2017,010690010262005,Franklin Elementary School,42,38,7335.00,,188798.00,13604.00,236,38,5,1,5,1
2017,010690060260001,Waverly Junior/Senior High School,240,173,6662.00,,131706.00,11001.00,2298,296,19,3,21,5
2017,010690060262002,Waverly Elementary School,184,183,6662.00,,131706.00,11001.00,1504,375,17,3,19,5
2017,010690110260001,Meredosia-Chambersburg High Sch,56,34,7154.00,,125453.00,13482.00,811,74,16,3,16,3
2017,010690110261001,Meredosia-Chambersburg Jr High,55,31,7154.00,,125453.00,13482.00,649,49,14,1,14,1
2017,010690110262003,Meredosia-Chambersburg Elem Sch,95,88,7154.00,,125453.00,13482.00,1234,165,8,1,8,1
2017,010690270260001,Triopia Jr-Sr High School,153,97,5180.00,,104674.00,8889.00,2120,242,20,3,21,4
2017,010690270262002,Triopia Grade School,192,168,5180.00,,104674.00,8889.00,1043,187,10,1,10,1
2017,010691170220014,Jacksonville High School,1075,410,5402.00,,122318.00,8960.00,13770,767,74,4,76,6
2017,010691170221013,Jacksonville Middle School,533,380,5402.00,,122318.00,8960.00,5604,519,39,3,42,6
2017,010691170222001,Eisenhower Elem School,398,242,5402.00,,122318.00,8960.00,2246,504,19,2,19,2
2017,010691170222005,Washington Elem School,323,220,5402.00,,122318.00,8960.00,2149,453,19,2,20,3
2017,010691170222006,Lincoln Elem School,329,233,5402.00,,122318.00,8960.00,2188,487,18,3,19,4
2017,010691170222007,South Jacksonville Elem School,360,228,5402.00,,122318.00,8960.00,2198,465,18,2,19,3
2017,010691170222008,North Jacksonville School,254,166,5402.00,,122318.00,8960.00,1618,328,13,2,13,2
2017,010691170222009,Murrayville-Woodson Elem School,184,129,5402.00,,122318.00,8960.00,1249,286,14,2,15,3
2017,010750030260002,Pleasant Hill High School,82,53,5535.00,,82126.00,10403.00,1146,136,16,2,16,2
2017,010750030262001,Pleasant Hill Elem School,201,184,5535.00,,82126.00,10403.00,5812,762,17,1,17,1
2017,010750040260002,Griggsville-Perry High School,121,15,5580.00,,93203.00,11098.00,1812,17,15,1,15,1
2017,010750040261002,Griggsville-Perry Middle School,101,0,5580.00,,93203.00,11098.00,734,0,9,0,9,0
2017,010750040262001,Griggsville-Perry Primary School,153,1,5580.00,,93203.00,11098.00,1064,2,11,0,11,0
2017,010750100260009,Pittsfield High School,328,199,5315.00,,89023.00,8939.00,4824,497,26,3,28,5
2017,010750100262007,Pittsfield South Elem School,312,308,5315.00,,89023.00,8939.00,6364,1185,18,1,20,3
2017,010750100262010,Pikeland Community School,612,330,5315.00,,89023.00,8939.00,16056,660,36,4,39,6
2017,010750120260001,Western High School,154,69,5040.00,,100882.00,10610.00,1885,137,17,2,17,2
2017,010750120261001,Western Jr High School,119,81,5040.00,,100882.00,10610.00,1031,122,12,2,12,2
2017,010750120262001,Western Barry Elem,249,227,5040.00,,100882.00,10610.00,1814,452,21,2,21,2
2017,010860010260001,Winchester High School,191,72,5909.00,,73158.00,9000.00,2963,108,25,3,25,3
2017,010860010262002,Winchester Elem School,416,336,5909.00,,73158.00,9000.00,4664,784,33,3,33,3
2017,010860020260001,Bluffs High School,59,0,5640.00,,95334.00,10494.00,750,0,11,0,11,0
2017,010860020261001,Bluffs Junior High School,34,0,5640.00,,95334.00,10494.00,379,0,5,0,5,0
2017,010860020262001,Bluffs Elementary School,109,0,5640.00,,95334.00,10494.00,3299,0,9,0,9,0
2017,030030010260001,Mulberry Grove Sr High School,109,14,5971.00,,71357.00,9705.00,1130,27,13,1,14,2
2017,030030010261001,Mulberry Grove Jr High School,103,0,5971.00,,71357.00,9705.00,1765,0,11,0,11,0
2017,030030010262001,Mulberry Grove Elem School,197,184,5971.00,,71357.00,9705.00,1245,184,15,1,16,2
2017,030030020260001,Bond Cty Comm Unit 2 High School,556,205,5655.00,,94839.00,8839.00,7020,364,34,3,41,10
2017,030030020261002,Greenville Jr High School,321,277,5655.00,,94839.00,8839.00,2450,530,19,2,20,3
2017,030030020262003,Greenville Elem School,577,574,5655.00,,94839.00,8839.00,4702,1207,31,3,40,12
2017,030030020262004,Pocahontas Center,219,219,5655.00,,94839.00,8839.00,1474,390,15,3,22,10
2017,030030020262005,Sorento Elem School,159,157,5655.00,,94839.00,8839.00,1129,334,15,3,22,10
2017,030110010260002,Morrisonville High School,94,48,5020.00,,118853.00,8576.00,1283,90,15,2,17,3
2017,030110010261001,Morrisonville Jr High School,43,26,5020.00,,118853.00,8576.00,577,36,12,2,14,3
2017,030110010262001,Morrisonville Elem School,185,183,5020.00,,118853.00,8576.00,1452,204,11,1,11,1
2017,030110030260006,Taylorville Sr High School,826,269,4479.00,,119013.00,7474.00,11582,626,50,3,53,6
2017,030110030261005,Taylorville Jr High School,812,164,4479.00,,119013.00,7474.00,5114,233,46,3,48,5
2017,030110030262001,Memorial Elem School,342,0,4479.00,,119013.00,7474.00,2082,0,13,0,13,0
2017,030110030262003,North Elem School,443,0,4479.00,,119013.00,7474.00,2254,0,18,0,20,0
