label,cap_length,number
0,4,1
0,5,4
0,6,4
0,7,16
0,8,29
0,9,25
0,10,49
0,11,66
0,12,18
0,13,15
0,14,13
0,15,6
0,17,4
0,18,6
0,20,2
0,21,1
1,4,2
1,6,2
1,7,2
1,8,1
1,9,6
1,10,1
1,11,5
1,12,9
1,13,33
1,14,4
1,15,4
2,5,1
2,6,4
2,7,4
2,8,9
2,9,35
2,10,41
2,11,7
2,12,3
2,13,8
2,14,3
3,5,1
3,6,5
3,7,4
3,8,2
3,9,3
3,10,13
3,11,3
3,12,6
3,13,1
4,5,2
4,6,9
4,7,20
4,8,9
4,9,8
4,10,4
4,11,11
4,12,6
4,13,3
4,14,3
5,6,1
5,7,7
5,8,23
5,10,1
5,17,1
6,5,1
6,6,2
6,7,13
6,8,19
6,9,5
6,10,3
6,11,11
6,12,10
6,13,2
6,14,4
6,15,2
6,16,1
7,4,4
7,5,12
7,6,7
7,7,3
7,8,1
7,9,11
7,10,10
7,11,10
7,13,2
7,18,1
8,4,2
8,5,4
8,6,9
8,7,22
8,8,42
8,9,9
8,10,14
8,11,14
8,12,5
8,13,2
8,14,1
8,17,1
9,5,2
9,6,7
9,7,9
9,8,6
9,9,4
9,10,10
9,11,5
9,12,4
9,13,2
9,14,2
9,15,1
9,16,1
9,17,1
10,5,5
10,7,2
10,8,4
10,9,4
10,10,7
10,11,3
10,12,2
10,13,1
11,6,3
11,7,12
11,8,8
11,9,19
11,10,16
11,11,21
11,12,2
11,13,8
11,14,4
11,15,1
11,18,1
12,5,2
12,6,9
12,7,5
12,8,5
12,9,2
12,10,2
12,11,2
12,12,1
12,15,1
13,4,4
13,5,16
13,6,12
13,7,7
13,8,3
13,9,9
13,10,23
13,11,12
13,12,2
13,13,4
13,14,3
14,5,4
14,6,3
14,7,13
14,8,19
14,9,9
14,10,4
14,11,13
14,12,4
14,13,4
14,14,5
14,16,2
15,3,1
15,4,10
15,5,7
15,6,8
15,7,1
15,8,1
15,9,8
15,10,1
15,11,2
15,12,5
15,13,4
15,14,4
15,17,1
16,6,2
16,7,2
16,8,8
16,9,3
16,10,5
16,11,9
16,12,2
16,13,1
16,14,2
17,6,3
17,7,7
17,8,3
17,9,3
17,10,2
17,11,1
17,12,2
18,4,1
18,9,12
18,10,2
18,11,1
18,12,16
18,13,3
19,4,9
19,5,39
19,6,129
19,7,271
19,8,321
19,9,395
19,10,452
19,11,625
19,12,270
19,13,233
19,14,139
19,15,101
19,16,27
19,17,22
19,18,16
19,19,9
19,20,9
19,21,2
19,22,1
19,25,1
20,5,1
20,6,5
20,7,13
20,8,17
20,9,2
20,10,2
20,11,1
20,12,2
21,5,1
21,6,2
21,7,4
21,8,5
21,9,8
21,10,13
21,11,6
21,12,3
21,13,2
21,14,1
21,15,1
21,16,1
21,17,1
21,20,1
22,4,1
22,5,2
22,6,1
22,7,2
22,8,2
22,9,8
22,10,8
22,11,25
22,12,7
22,13,13
22,14,6
22,15,3
22,16,2
22,17,1
23,4,5
23,5,1
23,6,3
23,7,3
23,8,5
23,9,7
23,10,1
23,11,3
23,12,3
23,13,3
23,14,1
23,15,1
23,16,1
24,4,2
24,5,4
24,6,2
24,7,6
24,8,3
24,9,2
24,11,6
24,12,5
24,13,3
24,14,1
24,15,1
25,6,2
25,7,8
25,8,4
25,9,3
25,10,5
25,11,7
25,12,2
25,13,2
25,16,1
26,7,1
26,8,2
26,10,9
26,11,3
26,12,2
26,13,1
27,4,1
27,5,3
27,7,4
27,8,2
27,10,1
27,11,1
27,13,6
27,14,3
27,15,2
27,24,1
28,7,1
28,8,3
28,9,3
28,10,3
28,11,4
28,12,4
28,13,2
28,14,1
29,5,2
29,6,3
29,7,8
29,8,2
29,9,6
29,10,4
29,11,8
29,12,5
29,13,3
29,14,2
29,15,4
29,16,1
30,5,1
30,6,7
30,7,33
30,8,30
30,9,3
30,10,3
30,12,4
30,14,1
30,16,1
31,6,7
31,7,1
31,8,2
31,9,6
31,10,8
31,11,4
31,12,1
31,14,1
31,15,1
32,6,1
32,7,6
32,8,8
32,9,1
32,10,8
32,11,3
33,6,4
33,7,5
33,8,7
33,9,2
33,10,5
33,12,1
34,5,3
34,6,6
34,7,8
34,8,2
34,9,9
34,10,6
34,11,3
34,12,4
34,13,1
34,16,2
35,6,1
35,8,5
35,9,5
35,10,5
35,11,4
35,12,5
35,13,1
35,19,1
36,5,1
36,6,4
36,7,1
36,8,3
36,9,4
36,10,8
36,11,6
36,13,1
36,14,1
37,6,1
37,8,2
37,9,4
37,10,3
37,11,1
37,14,1
38,6,3
38,7,7
38,8,3
38,9,4
38,10,4
38,11,3
38,13,1
39,4,2
39,5,1
39,6,2
39,7,15
39,8,10
39,9,4
39,10,10
39,11,5
39,12,4
39,14,1
40,7,1
40,9,7
40,10,5
40,11,2
40,12,3
40,13,1
40,15,1
41,7,1
41,9,4
41,10,2
41,11,3
41,12,1
41,13,1
42,8,2
42,10,3
42,11,3
42,12,1
42,25,1
43,6,8
43,7,8
43,8,9
43,9,5
43,10,15
43,11,2
43,12,1
43,14,1
44,6,1
44,7,5
44,8,12
44,9,1
44,11,1
45,6,9
45,7,11
45,8,4
45,9,5
45,10,5
45,11,1
45,12,1
45,13,1
45,14,1
46,4,1
46,5,4
46,6,104
46,7,184
46,8,174
46,9,73
46,10,162
46,11,57
46,12,49
46,13,16
46,14,4
46,15,12
46,16,1
46,19,1
47,5,4
47,6,2
47,7,17
47,8,23
47,9,11
47,10,15
47,11,17
47,12,11
47,13,7
47,14,2
47,15,2
47,16,1
47,21,1
48,4,1
48,6,1
48,7,4
48,8,3
48,9,9
48,10,4
48,11,7
48,12,4
48,13,3
48,14,2
48,16,1
48,17,1
48,18,1
49,6,2
49,7,1
49,8,6
49,9,1
49,10,3
49,11,11
49,12,4
49,13,4
49,15,1
49,18,1
50,5,1
50,6,3
50,7,7
50,8,11
50,9,20
50,10,17
50,11,5
50,12,1
50,13,6
50,14,1
50,15,1
51,6,1
51,7,7
51,8,13
51,9,6
51,10,5
51,11,25
51,12,15
51,13,8
51,14,5
51,15,7
51,16,4
51,17,3
51,18,1
51,19,1
52,6,2
52,8,2
52,9,2
52,10,23
52,11,4
52,12,3
52,15,1
53,6,1
53,7,1
53,8,2
53,9,4
53,10,4
53,11,2
53,14,1
54,5,1
54,6,3
54,7,7
54,8,4
54,9,1
54,10,8
54,11,3
54,12,1
55,6,1
55,7,11
55,8,23
55,9,1
55,10,4
55,11,2
55,12,2
55,14,1
56,4,1
56,6,5
56,7,12
56,8,7
56,9,5
56,10,3
56,11,4
56,12,3
56,14,1
56,15,1
56,16,1
57,6,2
57,7,9
57,8,4
57,9,4
57,10,7
57,11,3
58,4,1
58,6,1
58,7,4
58,9,5
58,10,4
58,11,5
58,12,7
58,13,2
59,9,5
59,12,1
60,6,3
60,7,6
60,8,17
60,9,3
60,10,1
60,11,1
60,12,1
61,7,2
61,8,1
61,9,5
61,10,6
61,11,16
61,12,4
61,13,5
61,14,2
61,15,1
61,20,1
62,5,1
62,6,3
62,7,10
62,8,3
62,9,11
62,10,17
62,11,5
62,12,3
62,13,3
62,14,3
62,15,1
62,17,1
63,5,1
63,6,4
63,7,11
63,8,9
63,9,1
63,10,2
63,11,2
63,14,1
64,4,3
64,5,1
64,6,1
64,7,3
64,8,2
64,9,2
64,10,1
64,11,4
64,12,5
64,13,3
64,14,1
64,15,2
65,7,7
65,8,10
65,9,2
65,10,2
65,11,3
66,6,1
66,7,6
66,8,7
67,6,2
67,7,1
67,8,4
67,9,2
67,10,3
67,11,4
67,12,8
67,13,3
67,15,2
68,6,2
68,7,1
68,8,2
68,9,2
68,10,2
68,11,3
68,13,2
68,14,1
69,8,12
69,9,2
69,10,2
69,11,2
70,5,1
70,6,1
70,7,4
70,8,14
70,9,4
70,10,5
70,11,3
70,13,3
70,14,1
71,7,1
71,8,2
71,9,5
71,10,11
71,11,4
71,12,1
71,14,2
72,3,1
72,4,2
72,5,5
72,6,3
72,7,3
72,8,2
72,9,4
72,10,5
72,11,11
72,12,8
72,13,7
72,14,6
72,15,3
73,7,2
73,8,6
73,9,1
73,10,5
73,11,1
73,18,1
74,7,1
74,8,1
74,10,3
74,11,8
74,12,11
74,13,2
74,14,1
74,15,1
74,17,1
74,23,1
75,6,1
75,7,9
75,8,9
75,9,3
75,10,8
75,11,4
75,13,1
75,14,1
76,6,1
76,7,3
76,8,1
76,9,4
76,10,12
77,7,1
77,8,2
77,9,4
77,10,5
77,11,7
77,12,1
77,15,1
78,4,1
78,6,3
78,7,11
78,8,4
78,9,2
78,10,2
78,11,4
78,12,1
78,13,1
79,7,2
79,8,1
79,9,2
79,10,4
79,11,2
79,12,6
79,13,3
79,14,1
79,15,1
80,6,1
80,8,2
80,9,5
80,10,5
80,11,3
80,12,3
80,13,2
80,18,1
81,6,3
81,8,2
81,9,2
81,10,4
81,11,1
81,13,1
81,14,1
82,7,6
82,8,20
82,9,1
82,10,1
82,12,4
83,6,1
83,8,1
83,9,1
83,10,1
83,12,2
83,13,2
83,15,1
84,5,1
84,6,12
84,7,17
84,8,27
84,9,6
84,10,14
84,11,2
84,12,3
84,13,1
84,14,1
84,15,1
85,6,7
85,7,20
85,8,27
85,9,3
85,10,8
85,11,3
85,12,4
85,13,2
86,6,1
86,7,2
86,8,1
86,9,4
86,10,2
86,12,8
86,13,2
86,14,2
86,15,3
87,6,2
87,7,5
87,8,2
87,9,11
87,10,10
87,11,2
87,12,1
87,13,4
87,14,1
87,15,2
87,18,1
88,7,1
88,8,3
88,9,3
88,10,5
88,11,6
88,12,4
88,13,1
88,14,5
88,17,1
88,18,2
89,6,1
89,7,8
89,8,6
89,9,10
89,10,6
89,11,7
89,12,6
89,13,1
89,14,1
89,15,1
90,6,3
90,7,6
90,8,4
90,9,9
90,10,5
90,11,6
90,12,4
90,14,2
90,15,1
90,16,1
90,17,1
90,18,1
91,6,3
91,8,1
91,9,4
91,10,3
91,11,2
91,13,2
92,5,1
92,7,1
92,8,6
92,10,2
92,11,6
92,12,1
92,13,1
92,14,2
93,7,1
93,8,1
93,9,5
93,10,6
93,12,1
93,13,2
93,14,1
93,15,1
93,18,1
94,5,2
94,6,1
94,8,2
94,9,1
94,10,2
94,11,4
95,4,2
95,5,5
95,6,11
95,7,12
95,8,4
95,9,18
95,10,18
95,11,15
95,12,7
95,13,3
95,14,3
95,15,1
95,18,1
96,4,1
96,5,1
96,6,6
96,7,7
96,8,15
96,9,6
96,10,7
96,11,11
96,12,5
96,13,3
96,14,4
96,15,2
96,18,1
97,6,3
97,7,6
97,8,7
97,9,5
97,10,5
97,11,1
97,13,1
98,7,13
98,8,7
98,9,1
98,10,2
98,16,1
99,6,1
99,8,1
99,9,1
99,10,1
99,11,2
99,12,5
99,13,3
99,14,1
